tablica[0] =41
tablica[1] =153
tablica[2] =288
tablica[3] =292
tablica[4] =491
tablica[5] =778
tablica[6] =1842
tablica[7] =1869
tablica[8] =2082
tablica[9] =2995
tablica[10] =3035
tablica[11] =3548
tablica[12] =3902
tablica[13] =4664
tablica[14] =4827
tablica[15] =4966
tablica[16] =5436
tablica[17] =5447
tablica[18] =5537
tablica[19] =5705
tablica[20] =6334
tablica[21] =6729
tablica[22] =6868
tablica[23] =7376
tablica[24] =7711
tablica[25] =8723
tablica[26] =8942
tablica[27] =9040
tablica[28] =9741
tablica[29] =9894
tablica[30] =9961
tablica[31] =11323
tablica[32] =11478
tablica[33] =11538
tablica[34] =11840
tablica[35] =11942
tablica[36] =12316
tablica[37] =12382
tablica[38] =12623
tablica[39] =12859
tablica[40] =13931
tablica[41] =14604
tablica[42] =14771
tablica[43] =15006
tablica[44] =15141
tablica[45] =15350
tablica[46] =15724
tablica[47] =15890
tablica[48] =16118
tablica[49] =16541
tablica[50] =16827
tablica[51] =16944
tablica[52] =17035
tablica[53] =17421
tablica[54] =17673
tablica[55] =18467
tablica[56] =18716
tablica[57] =18756
tablica[58] =19169
tablica[59] =19264
tablica[60] =19629
tablica[61] =19718
tablica[62] =19895
tablica[63] =19912
tablica[64] =19954
tablica[65] =20037
tablica[66] =21538
tablica[67] =21726
tablica[68] =22190
tablica[69] =22648
tablica[70] =22929
tablica[71] =23281
tablica[72] =23805
tablica[73] =23811
tablica[74] =24084
tablica[75] =24370
tablica[76] =24393
tablica[77] =24464
tablica[78] =24626
tablica[79] =25547
tablica[80] =25667
tablica[81] =26299
tablica[82] =26308
tablica[83] =26500
tablica[84] =26962
tablica[85] =27446
tablica[86] =27529
tablica[87] =27644
tablica[88] =28145
tablica[89] =28253
tablica[90] =28703
tablica[91] =29358
tablica[92] =30106
tablica[93] =30333
tablica[94] =31101
tablica[95] =31322
tablica[96] =32391
tablica[97] =32439
tablica[98] =32662
tablica[99] =32757
